Time,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,IsHydrate
2024-10-31 00:00:00,559.0225499999999,543.0,44.65046,0
2024-10-31 00:14:00,549.6309,543.0,44.68318,0
2024-10-31 00:30:00,586.3567499999999,543.0,44.58979,0
2024-10-31 00:46:00,573.30135,543.0,44.62712,0
2024-10-31 01:00:00,564.6483000000001,543.0,44.64499,0
2024-10-31 01:14:00,559.5771,543.0,44.65577,0
2024-10-31 01:28:00,594.0436500000001,543.0,44.5543,0
2024-10-31 01:44:00,579.2346,543.0,44.60474,0
2024-10-31 02:00:00,575.6688,543.0,44.612,0
2024-10-31 02:14:00,569.6556,543.0,44.63334,0
2024-10-31 02:30:00,556.50495,543.0,44.65831,0
2024-10-31 02:46:00,582.01815,543.0,44.58346,0
2024-10-31 03:00:00,583.23225,543.0,44.59333,0
2024-10-31 03:16:00,557.40765,543.0,44.62994,0
2024-10-31 03:28:00,559.6974,543.0,44.65321,0
2024-10-31 03:44:00,561.0645,543.0,44.64957,0
2024-10-31 04:00:00,574.6855499999999,543.0,44.61326,0
2024-10-31 04:14:00,577.60605,543.0,44.63443,0
2024-10-31 04:30:00,571.9866000000001,543.0,44.61763,0
2024-10-31 04:46:00,566.8248,543.0,44.64836,0
2024-10-31 04:58:00,576.3850500000001,543.0,44.33146,0
2024-10-31 05:14:00,574.7841,543.0,44.34416,0
2024-10-31 05:30:00,561.53055,543.0,44.39851,0
2024-10-31 05:44:00,546.55815,543.0,44.41094,0
2024-10-31 06:00:00,558.4390500000001,543.0,44.38026,0
2024-10-31 06:14:00,572.1432,543.0,44.3538,0
2024-10-31 06:30:00,567.6579,543.0,44.36668,0
2024-10-31 06:46:00,556.07025,543.0,44.39721,0
2024-10-31 06:58:00,546.97725,543.0,44.41696,0
2024-10-31 07:14:00,571.2198,543.0,44.3497,0
2024-10-31 07:30:00,565.43385,543.0,44.3615,0
2024-10-31 07:44:00,562.36515,543.0,44.37756,0
2024-10-31 08:00:00,549.08595,543.0,44.41018,0
2024-10-31 08:16:00,546.15675,543.0,44.419,0
2024-10-31 08:30:00,584.6124,543.0,44.31561,0
2024-10-31 08:44:00,573.8061,543.0,44.35046,0
2024-10-31 08:58:00,560.93895,543.0,44.38796,0
2024-10-31 09:14:00,554.2827,543.0,44.40012,0
2024-10-31 09:30:00,545.76135,543.0,44.41581,0
2024-10-31 09:44:00,577.70445,543.0,44.3311,0
2024-10-31 10:00:00,565.99395,543.0,44.3562,0
2024-10-31 10:16:00,555.49005,543.0,44.39793,0
2024-10-31 10:28:00,544.86165,543.0,44.41911,0
2024-10-31 10:44:00,573.1845,543.0,44.3461,0
2024-10-31 10:58:00,565.70355,543.0,44.36767,0
2024-10-31 11:14:00,539.49735,543.0,44.3986,0
2024-10-31 11:30:00,547.63275,543.0,44.42148,0
